"species_number","tax_rank","tax_taxon","tax_genus","tax_family","tax_order","tax_class","tax_superclass","tax_subphylum_div","tax_phylum_division","tax_kingdom","ecotox_grp","trophic_lvl","hab_marine","hab_brackish","hab_freshwater","hab_terrestrial","reg_africa","reg_america_north","reg_america_south","reg_asia","reg_europe","reg_oceania"
2677,"species","Daphnia catawba","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,TRUE,,,,
1280,"species","Daphnia galeata","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,,,,TRUE,
5867,"species","Daphnia spinulata","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,,,TRUE,,,
8,"species","Daphnia pulex","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,TRUE,TRUE,,,TRUE,,,TRUE,
1260,"species","Daphnia galeata","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,,,,TRUE,
241,"species","Daphnia pulicaria","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,,TRUE,TRUE,,TRUE,
48,"species","Daphnia hyalina","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",TRUE,TRUE,TRUE,,,,,,TRUE,
170,"species","Daphnia longispina","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,TRUE,TRUE,,,,,,TRUE,
836,"species","Daphnia cucullata","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",TRUE,TRUE,TRUE,,,,,,TRUE,
70,"species","Daphnia sp.","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,,,,,
2679,"species","Daphnia dubia","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,TRUE,,,,
2680,"species","Daphnia thorata","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,,TRUE,,,,
4616,"species","Daphnia retrocurva","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,TRUE,,,,
2678,"species","Daphnia longiremis","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,TRUE,TRUE,,,TRUE,,,TRUE,
1259,"species","Daphnia parvula","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,,,,,
2356,"species","Daphnia lumholtzi","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,TRUE,,,,,
2450,"species","Daphnia laevis","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,TRUE,TRUE,,,,
5703,"species","Daphnia cephalata","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,,,,,,
2307,"species","Daphnia middendorffiana","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,TRUE,,,TRUE,
15796,"species","Daphnia curvirostris","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,,,,TRUE,
3021,"species","Daphnia rosea","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,,TRUE,,,,
1258,"species","Daphnia ambigua","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",TRUE,TRUE,TRUE,,,TRUE,,,TRUE,
34648,"species","Daphnia similoides","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,,,,TRUE,,
1321,"species","Daphnia schodleri","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,,TRUE,,,,
5,"species","Daphnia magna","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,TRUE,TRUE,,,TRUE,,,TRUE,
5556,"species","Daphnia obtusa","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,TRUE,,,TRUE,,,TRUE,
240,"species","Daphnia carinata","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,TRUE,,TRUE,TRUE,TRUE,TRUE
2055,"species","Daphnia similis","Daphnia","Daphniidae","Diplostraca","Branchiopoda","","Crustacea","Arthropoda","Animalia","Invertebrate","heterotroph",,,,,TRUE,TRUE,,TRUE,,
