Temperature,Fungicide,Survival,n_start,survival_rate
10,No,10,10,1
10.5,No,9,10,0.9
11,No,10,10,1
11.5,No,8,10,0.8
12,No,9,10,0.9
12.5,No,10,10,1
13,No,10,10,1
13.5,No,9,10,0.9
14,No,9,10,0.9
14.5,No,10,10,1
15,No,7,10,0.7
15.5,No,7,10,0.7
16,No,7,10,0.7
16.5,No,4,10,0.4
17,No,8,10,0.8
17.5,No,8,10,0.8
18,No,7,10,0.7
18.5,No,7,10,0.7
19,No,6,10,0.6
19.5,No,6,10,0.6
20,No,6,10,0.6
20.5,No,5,10,0.5
21,No,4,10,0.4
21.5,No,4,10,0.4
22,No,2,10,0.2
22.5,No,5,10,0.5
23,No,3,10,0.3
23.5,No,1,10,0.1
24,No,2,10,0.2
24.5,No,2,10,0.2
25,No,1,10,0.1
25.5,No,1,10,0.1
26,No,1,10,0.1
26.5,No,2,10,0.2
27,No,0,10,0
27.5,No,2,10,0.2
28,No,1,10,0.1
28.5,No,0,10,0
29,No,0,10,0
29.5,No,0,10,0
30,No,0,10,0
10,Yes,6,10,0.6
10.5,Yes,3,10,0.3
11,Yes,5,10,0.5
11.5,Yes,7,10,0.7
12,Yes,3,10,0.3
12.5,Yes,5,10,0.5
13,Yes,3,10,0.3
13.5,Yes,3,10,0.3
14,Yes,3,10,0.3
14.5,Yes,2,10,0.2
15,Yes,1,10,0.1
15.5,Yes,0,10,0
16,Yes,1,10,0.1
16.5,Yes,1,10,0.1
17,Yes,1,10,0.1
17.5,Yes,2,10,0.2
18,Yes,0,10,0
18.5,Yes,1,10,0.1
19,Yes,0,10,0
19.5,Yes,0,10,0
20,Yes,0,10,0
20.5,Yes,0,10,0
21,Yes,0,10,0
21.5,Yes,0,10,0
22,Yes,0,10,0
22.5,Yes,0,10,0
23,Yes,1,10,0.1
23.5,Yes,0,10,0
24,Yes,0,10,0
24.5,Yes,0,10,0
25,Yes,0,10,0
25.5,Yes,0,10,0
26,Yes,0,10,0
26.5,Yes,0,10,0
27,Yes,0,10,0
27.5,Yes,0,10,0
28,Yes,0,10,0
28.5,Yes,0,10,0
29,Yes,0,10,0
29.5,Yes,0,10,0
30,Yes,0,10,0
