Id,time,conc,Nsurv,replicate
0,0,0,10,1
1,24,0,10,1
2,48,0,10,1
3,72,0,10,1
4,96,0,10,1
5,120,0,10,1
6,144,0,10,1
7,168,0,10,1
8,192,0,9,1
9,216,0,9,1
10,240,0,9,1
11,264,0,9,1
12,288,0,9,1
13,312,0,9,1
14,336,0,9,1
15,360,0,9,1
16,0,0.08,10,2
17,24,0.08,10,2
18,48,0.08,10,2
19,72,0.08,10,2
20,96,0.08,10,2
21,120,0.08,9,2
22,144,0.08,9,2
23,168,0.08,9,2
24,192,0.08,9,2
25,216,0.08,9,2
26,240,0.08,8,2
27,264,0.08,8,2
28,288,0.08,8,2
29,312,0.08,8,2
30,336,0.08,8,2
31,360,0.08,8,2
32,0,0.14,10,3
33,24,0.14,10,3
34,48,0.14,10,3
35,72,0.14,10,3
36,96,0.14,9,3
37,120,0.14,9,3
38,144,0.14,9,3
39,168,0.14,8,3
40,192,0.14,8,3
41,216,0.14,8,3
42,240,0.14,8,3
43,264,0.14,8,3
44,288,0.14,7,3
45,312,0.14,7,3
46,336,0.14,6,3
47,360,0.14,6,3
48,0,0.23,10,4
49,24,0.23,10,4
50,48,0.23,10,4
51,72,0.23,9,4
52,96,0.23,9,4
53,120,0.23,7,4
54,144,0.23,7,4
55,168,0.23,6,4
56,192,0.23,6,4
57,216,0.23,6,4
58,240,0.23,4,4
59,264,0.23,3,4
60,288,0.23,2,4
61,312,0.23,2,4
62,336,0.23,1,4
63,360,0.23,1,4
