Nest,Chick,Date,Age,Beak,Sex,Year,Lat,Long
A2,P211,29,6,59.9,U,2011,305,854
A2,P211,29,9,63.3,U,2011,305,854
A2,P211,29,16,95.6,U,2011,305,854
A2,P213,29,6,59.5,U,2011,305,854
A2,P213,29,9,64.6,U,2011,305,854
A2,P213,29,16,92.3,U,2011,305,854
A2,P225,29,4,53.6,U,2011,305,854
A2,P225,29,7,63,U,2011,305,854
A2,P249,29,1,46.1,U,2011,305,854
Ap2,P146,24,4,55,Male,2011,198,397
Ap2,P146,24,11,79.3,Male,2011,198,397
Ap2,P146,24,17,108,Male,2011,198,397
Ap2,P146,24,25,137.2,Male,2011,198,397
Ap2,P146,24,32,159.5,Male,2011,198,397
Ap2,P178,24,2,48.3,U,2011,198,397
Ap2,P178,24,9,69.4,U,2011,198,397
Ap2,P178,24,15,94.2,U,2011,198,397
Ap2,P178,24,23,117.5,U,2011,198,397
Ap2,P207,24,6,61.5,U,2011,198,397
Ap2,P207,24,12,84.4,U,2011,198,397
Ap2,P207,24,20,109.8,U,2011,198,397
Ap2,P207,24,27,135.9,U,2011,198,397
Ap2,P239,24,2,48.6,U,2011,198,397
Ap1,P131,23,5,53.6,U,2011,207,407
Ap1,P131,23,12,73,U,2011,207,407
Ap1,P131,23,18,92.5,U,2011,207,407
Ap1,P131,23,26,117.6,U,2011,207,407
Ap1,P131,23,33,135.9,U,2011,207,407
Ap1,P145,23,4,52.9,U,2011,207,407
Ap1,P145,23,11,68.2,U,2011,207,407
Ap1,P145,23,17,97.2,U,2011,207,407
Ap1,P145,23,25,112.2,U,2011,207,407
Ap1,P145,23,32,122.6,U,2011,207,407
Ap1,P177,23,2,49.8,U,2011,207,407
Ap1,P177,23,9,67.1,U,2011,207,407
Ap1,P177,23,15,88.6,U,2011,207,407
Ap1,P177,23,23,107.7,U,2011,207,407
Ap1,P177,23,30,122.6,U,2011,207,407
Ap1,P208,23,6,62.8,U,2011,207,407
Ap1,P208,23,12,80,U,2011,207,407
Ap1,P208,23,20,104.5,U,2011,207,407
