channel;treatment;abundance;richness
F01;CT;195.5;12
F10;ID;361.6;9
F11;PD;1385.6;14
F12;CT;251.7;13
F13;ID;429;10
F14;PD;1500;5
F15;CT;294.2;15
F16;ID;221.2;8
F17;PD;416.8;14
F18;CT;204.7;7
F19;ID;721.6;12
F02;PD;729.6;6
F20;CT;287.2;6
F21;ID;425.2;10
F22;PD;447;8
F23;CT;500.1;12
F24;ID;511.1;9
F25;PD;210.2;13
F26;CT;323.9;6
F27;ID;322.3;10
F28;PD;339.9;14
F29;CT;224.3;14
F03;ID;247.8;8
F30;PD;407.5;5
F31;CT;190.6;10
F32;ID;181.1;8
F04;PD;942.2;6
F05;CT;260.2;15
F06;ID;235;6
F07;PD;1177.1;10
F08;CT;290.2;11
F09;ID;350.7;9
